departure,departure_state_1789_fr,destination_state_1789_fr,homeport,year,destination_ferme_direction,tonnage,flag,tonnage_class,destination_ferme_bureau,departure_ferme_bureau,departure_action,destination_action,homeport_state_1789_fr,destination,departure_ferme_direction
Dunkerque,France,Suède,Göteborg,1787,,75,Swedish,[51-100],,Dunkerque,out,in,Suède,Gothembourg,Lille
Dunkerque,France,France,Saint Malo,1787,La Rochelle,79,French,[51-100],Marennes,Dunkerque,out,in,France,Marennes,Lille
Nantes,France,France,Nantes,1787,Lille,60,French,[51-100],Dunkerque,Nantes,out,in,France,Dunkerque,Nantes
Dunkerque,France,France,Workum,1787,Bordeaux,236,Dutch,[201-500],Bordeaux,Dunkerque,out,in,,Bordeaux,Lille
Dunkerque,France,France,Aber Ildut,1787,Lorient,56,French,[51-100],Brest,Dunkerque,out,in,France,Roscoff,Lille
Dunkerque,France,Suède,Göteborg,1787,,93,Swedish,[51-100],,Dunkerque,out,in,Suède,Gothembourg,Lille
Dunkerque,France,France,La Hougue,1787,La Rochelle,50,French,[21-50],Marennes,Dunkerque,out,in,France,Charente,Lille
Charente,France,France,Dunkerque,1787,Lille,90,French,[51-100],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Charente,France,France,Cherbourg,1787,Lille,96,French,[51-100],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Dunkerque,France,France,Dunkerque,1787,Rouen,30,French,[21-50],Dieppe,Dunkerque,out,in,France,Dieppe,Lille
Rouen,France,France,Dunkerque,1787,Lille,38,French,[21-50],Dunkerque,Rouen,out,in,France,Dunkerque,Rouen
Etaples,France,France,Dunkerque,1787,Lille,42,French,[21-50],Dunkerque,Boulogne-sur-Mer,out,in,France,Dunkerque,Amiens
Etaples,France,France,Dunkerque,1787,Lille,42,French,[21-50],Dunkerque,Boulogne-sur-Mer,out,in,France,Dunkerque,Amiens
Etaples,France,France,Dunkerque,1787,Lille,42,French,[21-50],Dunkerque,Boulogne-sur-Mer,out,in,France,Dunkerque,Amiens
Dunkerque,France,Danemark,Christiania,1787,,130,Danish/Norwegian,[101-200],,Dunkerque,out,in,Danemark,Christiania,Lille
Charente,France,France,Cognac,1787,Lille,85,French,[51-100],Dunkerque,Marennes,out,in,,Dunkerque,La Rochelle
Dunkerque,France,France,Saint Saverne [Saint Savinien],1787,La Rochelle,120,French,[101-200],Rochefort,Dunkerque,out,in,France,Rochefort,Lille
Dunkerque,France,Danemark,Nordahl,1787,,150,Danish,[101-200],,Dunkerque,out,in,Danemark,Mandal,Lille
Dunkerque,France,France,Nantes,1787,Nantes,70,French,[51-100],Nantes,Dunkerque,out,in,France,Nantes,Lille
Gravelines,France,France,,1787,La Rochelle,55,French,[51-100],Sables d'Olonne,Gravelines,out,in,,Noirmoutier,Lille
Dunkerque,France,Grande-Bretagne,Yarmouth,1787,,45,British,[21-50],,Dunkerque,out,in,Grande-Bretagne,Yarmouth,Lille
Dunkerque,France,Grande-Bretagne,Roque de Thau,1787,,99,French,[51-100],,Dunkerque,out,in,,Londres,Lille
Dunkerque,France,Danemark,Folkestone,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Nord Ferrow en Norvege,Lille
Lorient,France,France,Lorient,1787,Lille,55,French,[51-100],Dunkerque,Lorient,out,in,France,Dunkerque,Lorient
Dunkerque,France,France,Noirmoutier,1787,Nantes,75,French,[51-100],Nantes,Dunkerque,out,in,France,Nantes,Lille
Dunkerque,France,France,Anvers,1787,Bordeaux,150,Austrian NL,[101-200],Bordeaux,Dunkerque,out,in,Autriche,Bordeaux,Lille
Dunkerque,France,Grande-Bretagne,Sunderland,1787,,150,British,[101-200],,Dunkerque,out,in,Grande-Bretagne,Sunderland,Lille
Dunkerque,France,France,Caen,1787,Caen,25,French,[21-50],Caen,Dunkerque,out,in,France,Caen,Lille
Dunkerque,France,Hambourg,Wolgast,1787,,170,Swedish,[101-200],,Dunkerque,out,in,Suède,Hambourg,Lille
Dunkerque,France,France,Le Conquet,1787,Lorient,48,French,[21-50],Brest,Dunkerque,out,in,France,Le Conquet,Lille
Dunkerque,France,France,Plassac,1787,Bordeaux,80,French,[51-100],Bordeaux,Dunkerque,out,in,,Bordeaux,Lille
Dunkerque,France,Espagne,Dunkerque,1787,,300,French,[201-500],,Dunkerque,in-out,in,France,Cadix,Lille
Charente,France,France,Saint Savinien,1787,Lille,110,French,[101-200],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Dunkerque,France,Grande-Bretagne,Woodbrige,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Schourdun,1787,,12,NonFrench,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Deal,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Deal,Lille
Le Havre,France,France,,1787,Lille,150,French,[101-200],Dunkerque,Le Havre,out,in,,Dunkerque,Rouen
Charente,France,France,Wilby,1787,Lille,90,British,[51-100],Dunkerque,Marennes,out,in,Grande-Bretagne,Dunkerque,La Rochelle
Dunkerque,France,France,Dunkerque,1787,Amiens,30,French,[21-50],Boulogne-sur-Mer,Dunkerque,out,in,France,Boulogne sur Mer,Lille
Gravelines,France,Grande-Bretagne,,1787,,50,British,[21-50],,Gravelines,out,in,,Londres,Lille
Nantes,France,France,Bayonne,1787,Lille,85,French,[51-100],Dunkerque,Nantes,out,in,France,Dunkerque,Nantes
Reus,Espagne,France,,1787,Lille,200,NonFrench,[101-200],Dunkerque,,out,in,,Dunkerque,
Dunkerque,France,Toscane,Boulogne [sur Mer],1787,,165,French,[101-200],,Dunkerque,out,in,France,Livourne,Lille
Dunkerque,France,Provinces-Unies,Dort,1787,,106,Dutch,[101-200],,Dunkerque,out,in,Provinces-Unies,Doort,Lille
Dunkerque,France,Provinces-Unies,Dort,1787,,92,Dutch,[51-100],,Dunkerque,out,in,Provinces-Unies,Doort,Lille
Dunkerque,France,Provinces-Unies,Dort,1787,,92,Dutch,[51-100],,Dunkerque,out,in,Provinces-Unies,Doort,Lille
Dunkerque,France,Provinces-Unies,Dort,1787,,92,Dutch,[51-100],,Dunkerque,out,in,Provinces-Unies,Doort,Lille
Dunkerque,France,,Boulogne sur Mer,1787,,28,French,[21-50],,Dunkerque,out,in,France,,Lille
Charente,France,France,Charente,1787,Lille,118,French,[101-200],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Charente,France,France,Brest,1787,Lille,95,French,[51-100],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Charente,France,France,Amsterdam,1787,Lille,70,Dutch,[51-100],Dunkerque,Marennes,out,in,Provinces-Unies,Dunkerque,La Rochelle
Dunkerque,France,,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,,Lille
Dunkerque,France,France,Cherbourg,1787,La Rochelle,96,French,[51-100],Marennes,Dunkerque,out,in,France,Charente,Lille
Tabago,France,France,Dunkerque,1787,Lille,350,French,[201-500],Dunkerque,,out,in,France,Dunkerque,
Charente,France,France,Saint Malo,1787,Lille,100,French,[51-100],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Dunkerque,France,France,Cognac,1787,La Rochelle,85,French,[51-100],Marennes,Dunkerque,out,in,,Charente,Lille
Charente,France,France,Saint Savinien,1787,Lille,120,French,[101-200],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Charente,France,France,Charente,1787,Lille,118,French,[101-200],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Dunkerque,France,France,Charente,1787,La Rochelle,48,French,[21-50],Marennes,Dunkerque,out,in,France,Charente,Lille
Dunkerque,France,,Ostende,1787,,45,Austrian NL,[21-50],,Dunkerque,out,in,Autriche,,Lille
Dunkerque,France,France,Dunkerque,1787,,250,French,[201-500],,Dunkerque,out,in,France,Saint Domingue,Lille
Charente,France,France,Nantes,1787,Lille,150,French,[101-200],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Charente,France,France,Fécamp,1787,Lille,76,French,[51-100],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Charente,France,France,Fécamp,1787,Lille,76,French,[51-100],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Dunkerque,France,France,Dunkerque,1787,,200,French,[101-200],,Dunkerque,out,in,France,Saint Domingue,Lille
Charente,France,France,Plassac,1787,Lille,140,French,[101-200],Dunkerque,Marennes,out,in,,Dunkerque,La Rochelle
Charente,France,France,Londres,1787,Lille,55,British,[51-100],Dunkerque,Marennes,out,in,Grande-Bretagne,Dunkerque,La Rochelle
Charente,France,France,Londres,1787,Lille,55,British,[51-100],Dunkerque,Marennes,out,in,Grande-Bretagne,Dunkerque,La Rochelle
Dunkerque,France,France,Londres,1787,La Rochelle,50,British,[21-50],Marennes,Dunkerque,out,in,Grande-Bretagne,Charente,Lille
Dunkerque,France,France,Londres,1787,La Rochelle,50,British,[21-50],Marennes,Dunkerque,out,in,Grande-Bretagne,Charente,Lille
Dunkerque,France,France,Saint Malo,1787,Saint-Malo,90,French,[51-100],Saint-Brieuc,Dunkerque,out,in,France,Saint Brieux,Lille
Charente,France,France,Noirmoutier,1787,Lille,70,French,[51-100],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Dunkerque,France,France,Dunkerque,1787,,350,French,[201-500],,Dunkerque,out,in,France,Saint Domingue,Lille
Charente,France,France,Port d' Envaux,1787,Lille,60,French,[51-100],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Dunkerque,France,France,Anveaux,1787,La Rochelle,60,French,[51-100],Marennes,Dunkerque,out,in,France,Charente,Lille
Dunkerque,France,Toscane,Dunkerque,1787,,150,French,[101-200],,Dunkerque,out,in,France,Livourne,Lille
Charente,France,France,Saint Savinien,1787,Lille,110,French,[101-200],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Charente,France,France,Saint Savinien,1787,Lille,110,French,[101-200],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Charente,France,France,Dieppe,1787,Lille,80,French,[51-100],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Charente,France,France,Saint Savinien,1787,Lille,60,French,[51-100],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Charente,France,France,Dormeziel [Dornumersiel],1787,Lille,90,Prussian,[51-100],Dunkerque,Marennes,out,in,,Dunkerque,La Rochelle
Charente,France,France,Amsterdam,1787,Lille,90,Dutch,[51-100],Dunkerque,Marennes,out,in,Provinces-Unies,Dunkerque,La Rochelle
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,"Waton
[Walton on the Naze]",1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Walton [Walton on the Naze],1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,France,Cette,1787,Montpellier,250,French,[201-500],Sète,Dunkerque,out,in,France,Sette,Lille
Dunkerque,France,Suède,Göteborg,1787,,74,Swedish,[51-100],,Dunkerque,out,in,Suède,Gothembourg,Lille
Dunkerque,France,Islande,Dunkerque,1787,,45,French,[21-50],,Dunkerque,out,in,France,Islande,Lille
Dunkerque,France,Grande-Bretagne,Harwich,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Douvres,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Warden,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Douvres,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Pegelsham,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Burnham,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Pegelsham,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Pegelsham,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Pegelsham,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Espagne,Dunkerque,1787,,250,French,[201-500],,Dunkerque,out,in,France,Barcelonne,Lille
Dunkerque,France,Portugal,Caen,1787,,78,French,[51-100],,Dunkerque,out,in,France,Lisbonne,Lille
Dunkerque,France,Autriche,Dunkerque,1787,,42,French,[21-50],,Dunkerque,out,in,France,Bruges,Lille
Dunkerque,France,Islande,Dunkerque,1787,,90,French,[51-100],,Dunkerque,out,in,France,Islande,Lille
Dunkerque,France,Grande-Bretagne,Walton,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Walton,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Folkestone,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Islande,Dunkerque,1787,,35,French,[21-50],,Dunkerque,out,in,France,Islande,Lille
Dunkerque,France,Grande-Bretagne,Dunkerque,1787,,40,French,[21-50],,Dunkerque,out,in,France,Itlands [Shetland],Lille
Dunkerque,France,Danemark,Dunkerque,1787,,35,French,[21-50],,Dunkerque,out,in,France,Bergen,Lille
Dunkerque,France,Islande,Dunkerque,1787,,40,French,[21-50],,Dunkerque,out,in,France,Islande,Lille
Dunkerque,France,Grande-Bretagne,Douvres,1787,,72,British,[51-100],,Dunkerque,out,in,Grande-Bretagne,Londres,Lille
Dunkerque,France,Grande-Bretagne,Douvres,1787,,72,British,[51-100],,Dunkerque,out,in,Grande-Bretagne,Londres,Lille
Dunkerque,France,Provinces-Unies,Dunkerque,1787,,50,French,[21-50],,Dunkerque,out,in,France,Rotterdam,Lille
Dunkerque,France,Islande,Dunkerque,1787,,40,French,[21-50],,Dunkerque,out,in,France,Islande,Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Ipswich,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Douvres,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Folkestone,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hythe,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hythe,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hythe,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Islande,Dunkerque,1787,,50,French,[21-50],,Dunkerque,out,in,France,Islande,Lille
Dunkerque,France,Grande-Bretagne,Folkestone,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Gravelines,France,Autriche,Göteborg,1787,,93,Swedish,[51-100],,Gravelines,out,in,Suède,Nieuport,Lille
Dunkerque,France,Espagne,Dunkerque,1787,,250,French,[201-500],,Dunkerque,out,in,France,Barcelonne,Lille
Dunkerque,France,Grande-Bretagne,Havre [Arundell],1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,France,La Hougue,1787,Caen,59,French,[51-100],Caen,Dunkerque,out,in,France,La Hougue,Lille
Dunkerque,France,Grande-Bretagne,Burnham,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Burham,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Londres,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Margate,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Deal,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Deal,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Harwich,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,France,Dunkerque,1787,Marseille,140,French,[101-200],Marseille,Dunkerque,out,in,France,Marseille,Lille
Dunkerque,France,Grande-Bretagne,Harwich,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Danemark,Christiansand,1787,,210,Danish/Norwegian,[201-500],,Dunkerque,out,in,Danemark,Christiansand,Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Islande,Dunkerque,1787,,100,French,[51-100],,Dunkerque,out,in,France,Islande,Lille
Dunkerque,France,Portugal,Dunkerque,1787,,100,French,[51-100],,Dunkerque,out,in,France,Setubal,Lille
Dunkerque,France,Grande-Bretagne,Deal,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Rochester,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Rochester,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Rochester,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Chatham,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Withstabel [Whistable],1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Whistable,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Dartmouth,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Exeter,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Exeter,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Exeter,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Exeter,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Colchester,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Colchester,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Colchester,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Colchester,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Sunderland,1787,,105,British,[101-200],,Dunkerque,out,in,Grande-Bretagne,Sunderland,Lille
Dunkerque,France,Grande-Bretagne,Burnham,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Burnham,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Portugal,Saint Ubes [Setubal],1787,,160,Portuguese,[101-200],,Dunkerque,out,in,Portugal,Setubal,Lille
Dunkerque,France,Grande-Bretagne,Rye,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Harwich,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Harwich,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Maldon,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Sunderland,1787,,145,British,[101-200],,Dunkerque,out,in,Grande-Bretagne,Sunderland,Lille
Dunkerque,France,Grande-Bretagne,Southwoule,1787,,130,British,[101-200],,Dunkerque,out,in,Grande-Bretagne,Southwold,Lille
Dunkerque,France,Grande-Bretagne,Whistable,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Sunderland,1787,,50,British,[21-50],,Dunkerque,out,in,Grande-Bretagne,Sunderland,Lille
Dunkerque,France,Grande-Bretagne,Wistable,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Marennes,1787,,50,French,[21-50],,Dunkerque,out,in,France,Portsmouth,Lille
Dunkerque,France,Grande-Bretagne,Whistable,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Whistable,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Whistable,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
